date,ind,rain,ind,maxt,ind,mint,gmin,soil
27-Mar-42,0,0, , , , , , 
28-Mar-42,4,0, , , , , , 
29-Mar-42,0,0.9, , , , , , 
30-Mar-42,0,1.2, , , , , , 
31-Mar-42,0,3.5, , , , , , 
01-Apr-42,0,3.3, , , , , , 
02-Apr-42,0,0.2, , , , , , 
03-Apr-42,0,0, , , , , , 
04-Apr-42,0,4.4, , , , , , 
05-Apr-42,0,3.4, , , , , , 
06-Apr-42,0,3.5, , , , , , 
07-Apr-42,0,2.7, , , , , , 
08-Apr-42,0,0.8, , , , , , 
09-Apr-42,0,1.4, , , , , , 
10-Apr-42,0,0, , , , , , 
11-Apr-42,0,0, , , , , , 
12-Apr-42,0,0.8, , , , , , 
13-Apr-42,0,2.3, , , , , , 
14-Apr-42,0,0, , , , , , 
15-Apr-42,0,0, , , , , , 
16-Apr-42,0,0, , , , , , 
17-Apr-42,0,0, , , , , , 
18-Apr-42,0,0, , , , , , 
19-Apr-42,0,0, , , , , , 
20-Apr-42,0,0, , , , , , 
21-Apr-42,0,0, , , , , , 
22-Apr-42,0,0, , , , , , 
23-Apr-42,0,1.7, , , , , , 
24-Apr-42,0,0, , , , , , 
25-Apr-42,0,0, , , , , , 
26-Apr-42,0,0, , , , , , 
27-Apr-42,0,0, , , , , , 
28-Apr-42,0,0, , , , , , 
29-Apr-42,0,0, , , , , , 
30-Apr-42,0,0, , , , , , 
01-May-42,0,0, , , , , , 
02-May-42,0,0, , , , , , 
03-May-42,0,0, , , , , , 
04-May-42,0,0, , , , , , 
05-May-42,0,0, , , , , , 
06-May-42,0,0, , , , , , 
07-May-42,0,0.5, , , , , , 
08-May-42,0,0, , , , , , 
09-May-42,0,0, , , , , , 
10-May-42,0,0.1, , , , , , 
11-May-42,0,0.2, , , , , , 
12-May-42,0,0, , , , , , 
13-May-42,0,0, , , , , , 
14-May-42,0,1.4, , , , , , 
15-May-42,0,2.4, , , , , , 
16-May-42,0,0.2, , , , , , 
17-May-42,0,7.2, , , , , , 
18-May-42,0,2.1, , , , , , 
19-May-42,0,12, , , , , , 
20-May-42,0,0.4, , , , , , 
21-May-42,0,1, , , , , , 
22-May-42,4,0, , , , , , 
23-May-42,0,4.1, , , , , , 
24-May-42,0,10.2, , , , , , 
25-May-42,0,1.7, , , , , , 
26-May-42,0,1.5, , , , , , 
27-May-42,0,0.7, , , , , , 
28-May-42,0,3.4, , , , , , 
29-May-42,0,8.2, , , , , , 
30-May-42,0,3.9, , , , , , 
31-May-42,0,0, , , , , , 
01-Jun-42,0,0, , , , , , 
02-Jun-42,0,0, , , , , , 
03-Jun-42,0,0, , , , , , 
04-Jun-42,0,0, , , , , , 
05-Jun-42,0,0, , , , , , 
06-Jun-42,0,0, , , , , , 
07-Jun-42,4,0, , , , , , 
08-Jun-42,0,0, , , , , , 
09-Jun-42,0,0, , , , , , 
10-Jun-42,0,0.1, , , , , , 
11-Jun-42,0,0, , , , , , 
12-Jun-42,4,0, , , , , , 
13-Jun-42,0,0, , , , , , 
14-Jun-42,0,3.3, , , , , , 
15-Jun-42,0,0.3, , , , , , 
16-Jun-42,0,0, , , , , , 
17-Jun-42,0,0.2, , , , , , 
18-Jun-42,4,0, , , , , , 
19-Jun-42,0,0, , , , , , 
20-Jun-42,4,0, , , , , , 
21-Jun-42,0,0, , , , , , 
22-Jun-42,0,0, , , , , , 
23-Jun-42,0,0, , , , , , 
24-Jun-42,0,0, , , , , , 
25-Jun-42,0,0, , , , , , 
26-Jun-42,0,0, , , , , , 
27-Jun-42,0,0, , , , , , 
28-Jun-42,0,0, , , , , , 
29-Jun-42,0,0, , , , , , 
30-Jun-42,0,0, , , , , , 
01-Jul-42,4,0, , , , , , 
02-Jul-42,0,0.1, , , , , , 
03-Jul-42,0,0.7, , , , , , 
04-Jul-42,0,1.1, , , , , , 
05-Jul-42,4,0, , , , , , 
06-Jul-42,0,0.9, , , , , , 
07-Jul-42,0,0.7, , , , , , 
08-Jul-42,0,0.6, , , , , , 
09-Jul-42,0,2.2, , , , , , 
10-Jul-42,0,0.8, , , , , , 
11-Jul-42,0,0, , , , , , 
12-Jul-42,0,0, , , , , , 
13-Jul-42,0,0, , , , , , 
14-Jul-42,0,2.2, , , , , , 
15-Jul-42,0,1.6, , , , , , 
16-Jul-42,4,0, , , , , , 
17-Jul-42,4,0, , , , , , 
18-Jul-42,0,0, , , , , , 
19-Jul-42,0,0, , , , , , 
20-Jul-42,0,0, , , , , , 
21-Jul-42,0,0.3, , , , , , 
22-Jul-42,0,1, , , , , , 
23-Jul-42,0,0.8, , , , , , 
24-Jul-42,4,0, , , , , , 
25-Jul-42,0,7, , , , , , 
26-Jul-42,0,16.1, , , , , , 
27-Jul-42,0,0, , , , , , 
28-Jul-42,0,5.3, , , , , , 
29-Jul-42,0,0, , , , , , 
30-Jul-42,0,0, , , , , , 
31-Jul-42,0,0, , , , , , 
01-Aug-42,0,7.3, , , , , , 
02-Aug-42,0,14.1, , , , , , 
03-Aug-42,0,0, , , , , , 
04-Aug-42,0,0, , , , , , 
05-Aug-42,0,0, , , , , , 
06-Aug-42,0,2.1, , , , , , 
07-Aug-42,0,4.4, , , , , , 
08-Aug-42,0,5.4, , , , , , 
09-Aug-42,0,2.1, , , , , , 
10-Aug-42,0,2.5, , , , , , 
11-Aug-42,0,11.3, , , , , , 
12-Aug-42,0,0.4, , , , , , 
13-Aug-42,0,0.5, , , , , , 
14-Aug-42,0,3, , , , , , 
15-Aug-42,0,0.1, , , , , , 
16-Aug-42,0,0, , , , , , 
17-Aug-42,0,0, , , , , , 
18-Aug-42,4,0, , , , , , 
